May,,1,49,2,56,4,28,6,59,8,18,12,7,18,11,19,47,20,55,22,29
May,,1,44,2,53,4,26,6,56,8,17,12,7,18,13,19,49,20,57,22,35
May,,1,38,2,50,4,24,6,53,8,16,12,7,18,14,19,51,21,0,22,40
May,,1,33,2,46,4,21,6,51,8,14,12,6,18,16,19,53,21,2,22,46
May,,1,27,2,43,4,19,6,48,8,13,12,6,18,17,19,55,21,5,22,51
May,,1,22,2,40,4,17,6,45,8,12,12,6,18,19,19,57,21,7,22,57
May,,1,14,2,37,4,15,6,41,8,11,12,6,18,20,19,59,21,10,23,6
May,,1,6,2,34,4,13,6,38,8,10,12,6,18,22,20,1,21,12,23,16
May,,0,57,2,30,4,11,6,34,8,9,12,6,18,23,20,2,21,15,23,25
May10,,0,49,2,27,4,9,6,31,8,8,12,6,18,25,20,4,21,17,23,35
Mayll,,0,41,2,24,4,7,6,27,8,7,12,6,18,26,20,6,21,20,23,44
May12,,0,34,2,21,4,5,6,23,8,6,12,6,18,28,20,8,21,23,23,48
May13,,0,27,2,18,4,3,6,19,8,5,12,6,18,29,20,10,21,26,23,53
May14,,0,20,2,14,4,2,6,14,8,4,12,6,18,31,20,12,21,28,23,57
May15,,0,13,2,11,4,0,6,10,8,3,12,6,18,32,20,14,21,31,24,2
May16,,0,6,2,8,3,58,6,6,8,2,12,6,18,34,20,16,21,34,24,6
May17,,0,6,2,5,3,56,6,6,8,1,12,6,18,35,20,18,21,37,24,6
May18,,0,6,2,2,3,54,6,6,8,0,12,6,18,37,20,20,21,39,24,6
May19,,0,6,1,58,3,53,6,6,8,0,12,6,18,38,20,21,21,42,24,6
May20,,0,6,1,55,3,51,6,6,7,59,12,6,18,40,20,23,21,44,24,6
May21,,0,6,1,52,3,49,6,6,7,58,12,6,18,41,20,25,21,47,24,6
May22,,0,6,1,49,3,48,6,6,7,57,12,6,18,42,20,27,21,49,24,6
May23,,0,6,1,45,3,46,6,6,7,56,12,6,18,43,20,28,21,52,24,6
May24,,0,7,1,42,3,45,6,7,7,56,12,7,18,45,20,30,21,54,24,7
May25,,0,7,1,38,3,43,6,7,7,55,12,7,18,46,20,31,21,57,24,7
May26,,0,7,1,35,3,42,6,7,7,54,12,7,18,47,20,33,21,59,24,7
May27,,0,7,1,32,3,41,6,7,7,54,12,7,18,48,20,34,22,1,24,7
May28,,0,7,1,29,3,39,6,7,7,53,12,7,18,49,20,36,22,4,24,7
May29,,0,7,1,25,3,38,6,7,7,53,12,7,18,51,20,37,22,6,24,7
May30,,0,7,1,22,3,36,6,7,7,52,12,7,18,52,20,39,22,9,24,7
May31,,0,7,1,19,3,35,6,7,7,52,12,7,18,53,20,40,22,11,24,7
