Oct,1,4,21,4,59,6,12,8,10,9,5,11,59,16,34,17,46,18,41,19,37
Oct,2,4,23,5,1,6,14,8,11,9,6,11,59,16,32,17,44,18,38,19,34
Oct,3,4,25,5,3,6,16,8,12,9,7,11,59,16,30,17,41,18,35,19,31
Oct,4,4,27,5,5,6,18,8,13,9,8,11,59,16,28,17,38,18,33,19,28
Oct,5,4,29,5,7,6,20,8,14,9,9,11,58,16,26,17,36,18,30,19,26
Oct,6,4,31,5,9,6,21,8,14,9,9,11,58,16,23,17,33,18,28,19,23
Oct,7,4,33,5,11,6,23,8,15,9,10,11,57,16,21,17,31,18,25,19,21
Oct,8,4,35,5,13,6,25,8,16,9,11,11,57,16,19,17,28,18,23,19,18
Oct,9,4,37,5,15,6,27,8,17,9,12,11,57,16,17,17,26,18,20,19,15
Oct,10,4,39,5,17,6,29,8,18,9,13,11,57,16,15,17,23,18,18,19,13
Oct,11,4,42,5,19,6,31,8,18,9,13,11,56,16,13,17,21,18,15,19,10
Oct,12,4,44,5,21,6,33,8,19,9,14,11,56,16,11,17,18,18,13,19,8
Oct,13,4,46,5,23,6,35,8,20,9,15,11,56,16,9,17,16,18,10,19,5
Oct,14,4,48,5,25,6,37,8,21,9,16,11,56,16,7,17,13,18,8,19,3
Oct,15,4,50,5,27,6,39,8,22,9,17,11,56,16,5,17,11,18,6,19,0
Oct,16,4,51,5,28,6,42,8,23,9,18,11,55,16,3,17,8,18,3,18,58
Oct,17,4,53,5,30,6,44,8,24,9,19,11,55,16,1,17,6,18,1,18,55
Oct,18,4,55,5,32,6,46,8,25,9,20,11,55,15,59,17,3,17,59,18,53
Oct,19,4,57,5,34,6,48,8,26,9,21,11,55,15,57,17,1,17,57,18,51
Oct,20,4,59,5,36,6,50,8,27,9,22,11,55,15,55,16,58,17,54,18,49
Oct,21,5,1,5,38,6,52,8,27,9,23,11,54,15,53,16,56,17,52,18,46
Oct,22,5,3,5,40,6,54,8,28,9,24,11,54,15,51,16,53,17,49,18,44
Oct,23,5,5,5,42,6,56,8,29,9,25,11,54,15,49,16,51,17,47,18,42
Oct,24,5,7,5,44,6,58,8,30,9,26,11,54,15,47,16,49,17,45,18,40
Oct,25,5,9,5,46,7,0,8,31,9,27,11,54,15,45,16,47,17,43,18,38
Oct,26,5,10,5,48,7,2,8,32,9,28,11,54,15,44,16,44,17,41,18,36
Oct,27,5,12,5,50,7,4,8,33,9,29,11,54,15,42,16,42,17,39,18,34
Oct,28,5,14,5,52,7,6,8,34,9,30,11,54,15,40,16,40,17,37,18,32
Oct,29,5,16,5,54,7,8,8,35,9,31,11,54,15,38,16,38,17,35,18,30
Oct,30,5,18,5,56,7,10,8,36,9,32,11,54,15,36,16,36,17,33,18,28
Oct,31,5,20,5,57,7,13,8,36,9,33,11,53,15,35,16,33,17,31,18,26
